,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,86.82,9.75,99.09,13.47,38.47,0.0,96.04,463.09
1,1,1,Small Forehead,85.94,20.38,99.26,68.21,49.75,18.18,384.23,811.91
2,1,2,Cheeks and Nose,86.82,9.75,99.36,26.94,23.93,8.33,65.34,146.95
3,1,3,Left Cheek,85.05,23.92,99.34,26.94,51.91,8.33,24.28,1239.47
4,1,4,Right Cheek,86.82,9.75,99.4,30.12,31.92,16.67,133.74,141.67
5,1,5,Crop Face,85.94,9.75,99.33,19.05,20.8,0.0,150.27,381.84
6,2,0,Big Forehead,87.71,9.75,99.19,19.05,25.34,0.0,28.66,94.07
7,2,1,Small Forehead,97.46,9.75,99.49,33.0,43.41,16.67,76.45,1123.3
8,2,2,Cheeks and Nose,86.82,10.63,99.21,28.14,16.99,0.0,4.1,37.95
9,2,3,Left Cheek,85.94,15.95,99.43,61.34,48.4,27.27,483.26,798.43
10,2,4,Right Cheek,88.6,9.75,99.5,37.23,26.17,18.18,55.98,138.37
11,2,5,Crop Face,86.82,9.75,99.32,0.0,12.85,0.0,29.21,47.66
12,3,0,Big Forehead,85.05,9.75,99.16,22.25,21.49,0.0,39.32,402.37
13,3,1,Small Forehead,84.17,22.15,99.38,28.14,47.37,9.09,188.6,887.3
14,3,2,Cheeks and Nose,85.05,9.75,99.14,19.9,12.85,0.0,5.37,49.61
15,3,3,Left Cheek,85.94,9.75,99.32,31.6,31.26,8.33,102.1,281.17
16,3,4,Right Cheek,84.17,13.29,99.49,16.5,47.41,0.0,517.34,690.6
17,3,5,Crop Face,85.05,9.75,99.35,19.9,14.92,0.0,29.29,128.15
18,4,0,Big Forehead,87.71,16.83,99.19,22.25,28.14,0.0,75.66,110.55
19,4,1,Small Forehead,85.94,9.75,99.41,31.46,28.14,9.09,30.04,127.68
20,4,2,Cheeks and Nose,87.71,16.83,99.22,35.87,29.85,9.09,69.99,385.5
21,4,3,Left Cheek,88.6,18.61,99.35,14.07,26.17,0.0,25.73,183.05
22,4,4,Right Cheek,85.94,9.75,99.47,17.23,36.78,0.0,118.26,767.38
23,4,5,Crop Face,87.71,18.61,99.35,17.23,24.37,0.0,116.96,272.88
24,5,0,Big Forehead,89.48,9.75,99.17,19.05,25.62,0.0,17.93,345.66
25,5,1,Small Forehead,89.48,9.75,99.59,33.0,30.12,16.67,204.9,177.29
26,5,2,Cheeks and Nose,89.48,9.75,99.25,21.3,26.42,0.0,74.65,214.71
27,5,3,Left Cheek,87.71,9.75,99.22,19.05,34.25,0.0,154.53,113.09
28,5,4,Right Cheek,90.37,10.63,99.42,16.5,31.48,0.0,36.15,286.53
29,5,5,Crop Face,89.48,9.75,99.31,13.47,31.48,0.0,28.94,222.69
30,6,0,Big Forehead,83.28,9.75,99.17,50.05,46.67,30.0,543.0,2166.36
31,6,1,Small Forehead,84.17,9.75,99.28,29.52,41.98,10.0,72.67,1315.51
32,6,2,Cheeks and Nose,84.17,9.75,99.28,46.67,68.36,30.0,995.43,2259.22
33,6,3,Left Cheek,85.94,9.75,99.24,41.74,49.15,20.0,434.39,935.58
34,6,4,Right Cheek,80.62,9.75,99.3,66.0,68.07,40.0,287.3,631.44
35,6,5,Crop Face,83.28,9.75,99.25,39.05,46.88,20.0,348.42,1446.33
36,7,0,Big Forehead,88.6,9.75,99.22,34.47,28.14,9.09,138.85,493.23
37,7,1,Small Forehead,87.71,9.75,99.36,44.68,28.94,33.33,19.07,353.1
38,7,2,Cheeks and Nose,88.6,9.75,99.3,31.46,22.06,18.18,97.55,90.04
39,7,3,Left Cheek,87.71,9.75,99.27,46.67,38.11,18.18,87.91,158.07
40,7,4,Right Cheek,86.82,9.75,99.42,14.07,20.51,0.0,64.38,118.74
41,7,5,Crop Face,87.71,9.75,99.29,31.46,22.25,18.18,86.62,139.25
