,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,61.15,9.75,99.44,63.19,58.31,44.44,146.76,349.44
1,1,1,Small Forehead,62.92,9.75,99.4,63.19,82.39,44.44,1452.29,1814.56
2,1,2,Cheeks and Nose,60.27,9.75,99.49,58.34,75.61,62.5,717.66,948.12
3,1,3,Left Cheek,60.27,9.75,99.33,36.15,52.28,20.0,18.59,468.11
4,1,4,Right Cheek,61.15,19.5,99.39,31.11,60.65,22.22,336.29,1262.23
5,1,5,Crop Face,61.15,9.75,99.49,62.23,66.46,33.33,669.36,2580.07
6,2,0,Big Forehead,55.83,9.75,99.47,161.31,150.99,50.0,1648.03,9184.53
7,2,1,Small Forehead,55.83,11.52,99.43,90.97,81.2,30.0,492.12,258.69
8,2,2,Cheeks and Nose,56.72,9.75,99.47,16.5,60.5,0.0,447.81,2626.76
9,2,3,Left Cheek,56.72,23.93,99.31,34.61,68.07,20.0,316.17,1355.48
10,2,4,Right Cheek,54.95,19.5,99.41,29.85,60.71,9.09,203.46,428.02
11,2,5,Crop Face,55.83,9.75,99.6,139.37,103.11,85.71,2535.98,2754.52
12,3,0,Big Forehead,58.49,23.04,99.32,38.11,44.14,33.33,45.65,485.26
13,3,1,Small Forehead,58.49,9.75,99.4,45.49,64.48,30.0,39.15,382.9
14,3,2,Cheeks and Nose,58.49,9.75,99.35,30.55,29.25,14.29,381.42,721.32
15,3,3,Left Cheek,57.61,9.75,99.34,91.37,74.69,55.56,417.16,2090.71
16,3,4,Right Cheek,59.38,9.75,99.37,61.74,42.45,60.0,45.81,1546.31
17,3,5,Crop Face,58.49,23.93,99.39,121.81,89.03,37.5,195.47,435.7
18,4,0,Big Forehead,59.38,23.93,99.16,103.19,97.4,44.44,1510.76,836.72
19,4,1,Small Forehead,59.38,9.75,99.31,163.01,92.49,40.0,1342.02,474.17
20,4,2,Cheeks and Nose,58.49,9.75,99.27,40.42,54.17,25.0,439.93,1605.54
21,4,3,Left Cheek,57.61,9.75,99.31,72.13,69.66,22.22,1181.39,1795.43
22,4,4,Right Cheek,57.61,9.75,99.37,127.33,108.67,22.22,1097.24,2565.99
23,4,5,Crop Face,58.49,9.75,99.36,40.42,42.96,25.0,333.97,568.0
24,5,0,Big Forehead,59.38,9.75,99.2,152.02,93.92,44.44,882.75,377.24
25,5,1,Small Forehead,58.49,9.75,99.32,75.78,85.01,27.27,140.84,2225.29
26,5,2,Cheeks and Nose,57.61,9.75,99.24,61.74,80.83,25.0,844.01,855.46
27,5,3,Left Cheek,59.38,21.27,99.25,75.25,55.75,60.0,217.42,182.05
28,5,4,Right Cheek,57.61,9.75,99.35,49.5,56.63,50.0,454.86,1802.8
29,5,5,Crop Face,58.49,9.75,99.32,55.78,65.85,28.57,480.22,1109.38
30,6,0,Big Forehead,60.27,23.04,99.32,102.85,70.0,85.71,415.36,881.64
31,6,1,Small Forehead,69.13,9.75,99.36,92.16,91.08,60.0,1397.89,412.0
32,6,2,Cheeks and Nose,59.38,23.04,99.27,66.0,64.84,62.5,493.04,1339.22
33,6,3,Left Cheek,61.15,9.75,99.32,57.16,99.85,22.22,2833.78,4988.29
34,6,4,Right Cheek,59.38,23.04,99.39,62.23,54.89,44.44,665.81,1013.69
35,6,5,Crop Face,60.27,23.93,99.44,17.64,17.64,0.0,41.14,142.69
