,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,64.67,21.26,99.33,70.36,66.0,63.64,1141.36,2919.09
1,1,1,Small Forehead,62.01,9.74,99.36,33.0,42.51,18.18,169.93,733.64
2,1,2,Cheeks and Nose,62.9,9.74,99.15,48.95,52.08,50.0,119.31,1025.42
3,1,3,Left Cheek,91.25,15.06,99.14,41.02,88.39,18.18,625.24,815.44
4,1,4,Right Cheek,151.49,9.74,98.82,34.79,38.19,16.67,68.95,109.58
5,1,5,Crop Face,63.79,9.74,99.14,46.67,87.39,15.38,361.66,299.34
6,2,0,Big Forehead,64.67,9.74,99.24,58.72,87.15,33.33,1003.65,1496.84
7,2,1,Small Forehead,64.67,9.74,99.28,60.52,49.67,36.36,404.08,695.95
8,2,2,Cheeks and Nose,151.49,9.74,98.97,35.76,36.2,20.0,37.69,532.42
9,2,3,Left Cheek,67.33,9.74,98.89,17.64,51.62,7.14,169.44,96.64
10,2,4,Right Cheek,150.6,17.72,98.84,28.33,28.12,5.26,3.31,9.41
11,2,5,Crop Face,150.6,10.63,99.05,24.83,38.19,0.0,72.85,356.95
12,3,0,Big Forehead,62.9,23.92,99.29,50.73,102.76,18.18,2258.15,855.18
13,3,1,Small Forehead,61.13,18.6,99.32,95.95,82.2,72.73,913.45,2556.23
14,3,2,Cheeks and Nose,151.49,23.92,98.71,41.67,54.93,26.67,69.93,228.64
15,3,3,Left Cheek,62.01,9.74,98.56,27.46,86.76,7.69,144.13,419.53
16,3,4,Right Cheek,151.49,22.15,98.73,38.11,33.1,22.22,37.64,95.09
17,3,5,Crop Face,151.49,9.74,98.93,78.53,83.04,53.85,853.24,1366.36
18,4,0,Big Forehead,62.01,9.74,99.35,45.6,86.88,27.27,627.98,1849.04
19,4,1,Small Forehead,87.7,9.74,99.44,52.75,42.46,55.56,67.55,593.46
20,4,2,Cheeks and Nose,151.49,11.52,99.35,43.64,38.26,31.25,89.48,194.8
21,4,3,Left Cheek,61.13,19.49,99.02,39.8,37.56,27.27,263.54,304.33
22,4,4,Right Cheek,151.49,22.15,99.1,28.33,36.9,10.53,88.94,32.93
23,4,5,Crop Face,61.13,13.29,99.24,34.62,39.23,18.75,66.71,47.76
24,5,0,Big Forehead,62.9,9.74,99.22,37.23,70.54,18.18,215.94,457.28
25,5,1,Small Forehead,100.99,17.72,99.29,55.22,64.79,60.0,1161.15,1658.93
26,5,2,Cheeks and Nose,60.24,13.29,98.8,18.31,46.42,7.69,142.43,149.58
27,5,3,Left Cheek,60.24,13.29,98.95,54.22,55.75,40.0,181.22,431.05
28,5,4,Right Cheek,151.49,15.06,98.93,33.0,27.53,11.11,3.69,19.31
29,5,5,Crop Face,61.13,9.74,99.02,8.82,49.99,0.0,143.55,626.19
30,6,0,Big Forehead,67.33,12.4,99.32,58.21,42.46,22.22,248.51,1057.39
31,6,1,Small Forehead,67.33,9.74,99.37,19.05,67.45,0.0,29.37,1329.79
32,6,2,Cheeks and Nose,63.79,16.83,99.16,44.0,49.68,22.22,106.56,963.76
33,6,3,Left Cheek,62.01,15.95,98.95,33.0,28.89,11.11,187.47,344.73
34,6,4,Right Cheek,60.24,17.72,98.63,46.67,66.75,20.0,633.13,636.58
35,6,5,Crop Face,63.79,9.74,99.14,40.42,73.09,37.5,38.89,295.24
36,7,0,Big Forehead,65.56,19.49,99.13,40.42,49.75,20.0,285.52,547.2
37,7,1,Small Forehead,65.56,19.49,99.1,127.81,114.71,63.64,3791.58,3308.58
38,7,2,Cheeks and Nose,64.67,18.6,99.42,59.24,47.31,44.44,280.31,1666.47
39,7,3,Left Cheek,62.9,15.95,98.6,55.22,74.46,20.0,850.33,1953.35
40,7,4,Right Cheek,64.67,22.15,98.94,47.82,42.45,20.0,161.76,196.26
41,7,5,Crop Face,64.67,23.92,99.53,56.32,45.41,50.0,44.84,292.52
