,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,65.58,16.84,99.35,59.49,56.17,25.0,447.3,403.66
1,1,1,Small Forehead,55.83,15.95,99.53,50.73,70.36,27.27,1582.97,1005.37
2,1,2,Cheeks and Nose,65.58,10.63,99.29,59.24,46.8,44.44,529.23,668.2
3,1,3,Left Cheek,65.58,9.75,99.4,46.67,28.58,37.5,52.63,56.63
4,1,4,Right Cheek,66.46,11.52,98.93,172.11,128.04,70.0,1748.63,4677.68
5,1,5,Crop Face,65.58,13.29,99.26,16.5,23.33,0.0,163.21,476.12
6,2,0,Big Forehead,56.72,16.84,99.11,70.97,52.18,50.0,115.12,281.6
7,2,1,Small Forehead,58.49,17.72,99.31,44.5,49.42,36.36,89.79,171.26
8,2,2,Cheeks and Nose,56.72,19.5,99.2,52.18,52.18,25.0,599.17,2182.67
9,2,3,Left Cheek,56.72,23.04,99.28,42.6,27.17,33.33,86.0,443.58
10,2,4,Right Cheek,57.6,17.72,99.27,289.5,199.11,75.0,14388.78,13078.23
11,2,5,Crop Face,57.6,19.5,99.12,45.19,55.82,25.0,105.85,1195.1
12,3,0,Big Forehead,66.46,15.07,99.0,104.06,99.8,42.86,978.73,2034.28
13,3,1,Small Forehead,63.81,17.72,99.66,77.39,81.02,25.0,364.65,2718.23
14,3,2,Cheeks and Nose,62.03,15.07,99.17,33.0,55.82,12.5,351.46,1326.28
15,3,3,Left Cheek,70.01,23.93,98.92,51.12,63.24,40.0,1183.29,2069.8
16,3,4,Right Cheek,62.03,12.41,99.05,71.29,74.69,44.44,1808.27,3730.6
17,3,5,Crop Face,64.69,14.18,99.03,45.19,48.89,25.0,165.45,1724.06
18,4,0,Big Forehead,68.24,17.72,98.86,21.3,51.4,0.0,231.13,461.24
19,4,1,Small Forehead,102.8,16.84,99.18,46.67,31.86,18.18,111.02,194.95
20,4,2,Cheeks and Nose,69.12,9.75,99.07,90.37,77.39,50.0,508.5,1561.92
21,4,3,Left Cheek,66.46,19.5,99.0,24.37,35.41,0.0,121.09,617.36
22,4,4,Right Cheek,67.35,18.61,98.96,84.13,59.49,62.5,834.54,436.72
23,4,5,Crop Face,68.24,9.75,99.04,69.02,43.65,50.0,162.43,105.76
24,5,0,Big Forehead,65.58,9.75,99.01,49.75,60.52,36.36,7.85,76.36
25,5,1,Small Forehead,90.39,9.75,99.31,56.56,41.41,46.15,174.5,329.54
26,5,2,Cheeks and Nose,65.58,9.75,98.95,66.75,59.7,36.36,399.9,554.87
27,5,3,Left Cheek,66.46,22.15,99.26,82.15,61.08,58.33,618.28,555.22
28,5,4,Right Cheek,68.24,22.15,99.1,34.84,69.05,15.38,121.36,335.29
29,5,5,Crop Face,65.58,9.75,98.98,49.01,76.91,38.46,439.04,1566.53
30,6,0,Big Forehead,59.37,9.75,99.06,19.05,22.54,0.0,14.9,117.23
31,6,1,Small Forehead,64.69,9.75,99.21,72.96,57.88,46.15,31.01,520.14
32,6,2,Cheeks and Nose,62.92,9.75,99.13,35.0,23.33,25.0,56.54,199.18
33,6,3,Left Cheek,63.81,22.15,99.18,42.6,62.32,22.22,627.57,3919.32
34,6,4,Right Cheek,65.58,23.04,99.16,62.93,58.02,54.55,254.99,706.93
35,6,5,Crop Face,62.92,9.75,99.11,78.35,68.15,54.55,91.24,2480.44
