,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,71.8,9.75,99.38,53.34,78.5,30.0,581.64,6509.3
1,1,1,Small Forehead,70.03,21.27,99.44,51.06,46.7,33.33,237.83,933.29
2,1,2,Cheeks and Nose,74.46,23.05,99.5,24.62,63.31,0.0,52.9,1425.23
3,1,3,Left Cheek,93.07,23.93,99.46,38.83,26.46,30.77,10.14,332.69
4,1,4,Right Cheek,72.68,22.16,99.5,45.18,51.74,25.0,574.33,2271.1
5,1,5,Crop Face,74.46,22.16,99.42,18.07,49.71,0.0,500.26,1207.87
6,2,0,Big Forehead,62.05,22.16,99.27,33.0,47.79,18.18,45.37,592.23
7,2,1,Small Forehead,86.87,20.39,99.38,36.96,67.89,15.38,527.92,1036.89
8,2,2,Cheeks and Nose,65.59,16.84,99.39,34.67,31.41,16.67,63.81,212.5
9,2,3,Left Cheek,70.03,10.64,99.56,60.14,57.27,58.33,170.23,1911.17
10,2,4,Right Cheek,96.62,13.3,99.48,32.03,51.12,15.38,23.85,939.32
11,2,5,Crop Face,64.71,17.73,99.28,29.52,33.2,10.0,26.94,84.2
12,3,0,Big Forehead,64.71,23.93,99.3,0.0,54.31,0.0,524.15,1893.61
13,3,1,Small Forehead,65.59,9.75,99.35,20.87,41.98,0.0,288.13,274.69
14,3,2,Cheeks and Nose,65.59,19.5,99.28,56.09,67.9,66.67,455.68,2108.04
15,3,3,Left Cheek,63.82,17.73,99.56,10.44,54.13,0.0,725.29,554.57
16,3,4,Right Cheek,62.93,9.75,99.56,38.11,74.54,25.0,653.04,774.38
17,3,5,Crop Face,64.71,19.5,99.24,57.16,50.29,66.67,794.57,1949.75
18,4,0,Big Forehead,65.59,17.73,99.3,55.22,53.77,20.0,158.11,874.12
19,4,1,Small Forehead,67.37,15.96,99.38,56.2,33.89,40.0,91.93,182.61
20,4,2,Cheeks and Nose,64.71,9.75,99.49,54.22,44.27,40.0,63.35,67.28
21,4,3,Left Cheek,62.05,9.75,99.56,66.5,44.51,36.36,210.68,939.16
22,4,4,Right Cheek,66.48,14.18,99.52,52.44,49.12,25.0,104.92,347.46
23,4,5,Crop Face,64.71,13.3,99.42,30.87,22.0,12.5,4.29,151.48
