,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,78.29,9.79,99.11,14.76,9.95,0.0,13.36,52.56
1,1,1,Small Forehead,79.18,10.68,99.24,43.03,36.15,30.0,18.44,212.28
2,1,2,Cheeks and Nose,78.29,9.79,99.35,25.56,15.41,0.0,8.12,54.73
3,1,3,Left Cheek,78.29,9.79,99.34,20.87,13.35,0.0,13.13,63.09
4,1,4,Right Cheek,78.29,9.79,99.42,14.76,27.07,0.0,17.35,341.25
5,1,5,Crop Face,78.29,9.79,99.32,14.76,27.07,0.0,139.82,38.07
6,2,0,Big Forehead,85.41,18.68,99.24,43.37,30.94,36.36,87.58,572.43
7,2,1,Small Forehead,83.63,18.68,99.4,24.37,29.71,0.0,137.03,209.16
8,2,2,Cheeks and Nose,85.41,18.68,99.44,0.0,21.34,0.0,7.09,192.89
9,2,3,Left Cheek,85.41,19.57,99.44,27.61,17.23,0.0,12.5,26.38
10,2,4,Right Cheek,84.52,18.68,99.18,24.37,23.69,9.09,16.05,84.74
11,2,5,Crop Face,84.52,17.79,99.54,25.56,25.56,0.0,194.21,434.27
12,3,0,Big Forehead,73.84,22.24,98.95,22.0,17.04,0.0,68.25,164.99
13,3,1,Small Forehead,73.84,23.13,99.09,19.05,28.04,0.0,29.5,663.47
14,3,2,Cheeks and Nose,74.73,22.24,98.36,29.1,17.39,0.0,11.77,153.09
15,3,3,Left Cheek,75.62,22.24,98.69,34.61,35.6,10.0,188.95,202.48
16,3,4,Right Cheek,74.73,22.24,98.93,23.33,19.9,0.0,77.21,207.11
17,3,5,Crop Face,74.73,21.35,98.07,33.0,35.6,10.0,199.96,103.31
18,4,0,Big Forehead,79.18,9.79,99.09,39.8,34.82,18.18,242.21,168.05
19,4,1,Small Forehead,79.18,23.13,99.21,18.07,34.18,0.0,73.43,1088.03
20,4,2,Cheeks and Nose,79.18,9.79,99.24,24.37,22.06,0.0,71.21,238.08
21,4,3,Left Cheek,80.07,9.79,99.38,29.52,17.8,10.0,29.3,20.11
22,4,4,Right Cheek,79.18,9.79,99.33,39.8,32.5,27.27,401.18,1000.46
23,4,5,Crop Face,79.18,9.79,99.32,24.37,23.69,0.0,56.58,144.82
24,5,0,Big Forehead,75.62,9.79,99.0,34.47,39.38,18.18,165.06,402.26
25,5,1,Small Forehead,74.73,9.79,99.2,14.07,9.53,0.0,6.48,14.93
26,5,2,Cheeks and Nose,76.51,12.46,99.09,42.6,36.99,33.33,223.57,1420.17
27,5,3,Left Cheek,76.51,18.68,99.28,50.73,40.11,27.27,290.81,285.49
28,5,4,Right Cheek,75.62,14.23,99.34,34.47,42.51,18.18,77.93,518.75
29,5,5,Crop Face,76.51,9.79,99.21,54.5,40.11,27.27,208.59,124.19
30,6,0,Big Forehead,82.74,14.23,99.1,14.76,13.35,0.0,36.17,82.51
31,6,1,Small Forehead,82.74,9.79,99.18,23.33,15.41,0.0,34.95,37.89
32,6,2,Cheeks and Nose,83.63,23.13,99.2,20.87,15.41,0.0,65.23,53.04
33,6,3,Left Cheek,83.63,9.79,99.21,34.47,28.58,18.18,82.53,146.59
34,6,4,Right Cheek,81.85,21.35,99.37,25.56,15.41,0.0,8.2,50.16
35,6,5,Crop Face,82.74,23.13,99.31,35.87,37.56,18.18,27.78,386.25
