,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,67.61,9.79,98.91,252.99,182.93,75.0,14793.73,10781.03
1,1,1,Small Forehead,75.61,9.79,98.81,156.59,116.1,27.27,947.8,1697.51
2,1,2,Cheeks and Nose,67.61,9.79,98.98,42.6,74.28,22.22,755.96,1461.41
3,1,3,Left Cheek,68.5,19.57,99.02,60.85,73.92,40.0,147.62,2216.41
4,1,4,Right Cheek,66.72,9.79,99.2,50.41,62.61,44.44,261.47,2977.66
5,1,5,Crop Face,67.61,12.45,98.68,50.41,42.46,22.22,29.02,1063.82
6,2,0,Big Forehead,66.72,9.79,98.99,34.79,59.85,22.22,319.52,302.05
7,2,1,Small Forehead,66.72,9.79,98.93,102.44,80.17,36.36,518.01,1626.61
8,2,2,Cheeks and Nose,65.83,9.79,99.25,51.59,49.32,44.44,66.38,1180.11
9,2,3,Left Cheek,65.83,9.79,99.16,67.81,46.15,55.56,231.4,1339.16
10,2,4,Right Cheek,66.72,9.79,99.26,34.79,55.66,22.22,505.61,1693.77
11,2,5,Crop Face,65.83,23.13,98.96,49.19,41.16,33.33,311.16,1530.66
12,3,0,Big Forehead,65.83,9.79,99.2,77.78,65.63,55.56,1414.59,1524.62
13,3,1,Small Forehead,66.72,9.79,99.35,58.21,58.31,33.33,1313.15,1053.39
14,3,2,Cheeks and Nose,66.72,9.79,99.3,30.87,40.79,12.5,331.27,1115.4
15,3,3,Left Cheek,65.83,21.35,99.06,88.39,61.47,37.5,475.7,1031.58
16,3,4,Right Cheek,64.94,22.24,99.01,105.06,88.81,33.33,680.48,2490.49
17,3,5,Crop Face,65.83,20.46,99.2,38.7,23.33,25.0,11.4,130.65
18,4,0,Big Forehead,65.83,9.79,99.18,80.83,70.92,40.0,1194.91,1308.08
19,4,1,Small Forehead,68.5,11.56,99.28,22.0,17.04,0.0,44.91,51.16
20,4,2,Cheeks and Nose,65.83,9.79,99.09,30.87,22.0,0.0,78.33,141.86
21,4,3,Left Cheek,66.72,9.79,99.05,33.0,59.85,11.11,38.26,1302.5
22,4,4,Right Cheek,65.83,9.79,99.08,0.0,59.49,0.0,1083.18,3028.66
23,4,5,Crop Face,65.83,9.79,99.06,38.11,65.63,33.33,105.42,747.58
24,5,0,Big Forehead,62.27,9.79,98.82,60.25,89.09,33.33,990.82,4604.89
25,5,1,Small Forehead,61.38,9.79,98.62,54.5,62.07,27.27,588.76,1431.34
26,5,2,Cheeks and Nose,63.16,23.13,98.99,80.08,67.9,55.56,346.12,407.31
27,5,3,Left Cheek,63.16,9.79,99.06,88.0,89.97,55.56,297.75,2956.87
28,5,4,Right Cheek,63.16,23.13,99.18,44.0,74.69,22.22,1981.24,3639.93
29,5,5,Crop Face,63.16,9.79,98.68,67.81,58.62,33.33,530.64,658.5
30,6,0,Big Forehead,64.05,9.79,98.88,15.56,54.34,0.0,299.51,583.07
31,6,1,Small Forehead,63.16,20.46,98.69,36.9,29.1,25.0,83.62,328.78
32,6,2,Cheeks and Nose,64.05,9.79,99.08,59.95,40.29,50.0,55.66,355.31
33,6,3,Left Cheek,64.05,9.79,99.09,22.0,59.85,11.11,371.19,610.74
34,6,4,Right Cheek,64.05,9.79,99.1,67.81,54.89,44.44,798.69,1117.93
35,6,5,Crop Face,64.05,9.79,98.83,58.21,64.14,33.33,651.7,1084.98
