,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,99.63,9.79,99.1,38.71,31.63,13.33,22.23,163.94
1,1,1,Small Forehead,70.28,9.79,99.24,57.16,86.12,33.33,695.55,2457.72
2,1,2,Cheeks and Nose,69.39,9.79,99.13,24.95,40.7,14.29,98.11,150.25
3,1,3,Left Cheek,72.06,9.79,99.34,30.36,43.96,15.38,264.36,352.79
4,1,4,Right Cheek,150.34,9.79,99.29,25.93,29.81,7.14,8.93,128.12
5,1,5,Crop Face,69.39,9.79,99.23,41.0,36.64,18.75,181.06,583.11
6,2,0,Big Forehead,88.07,20.46,99.12,45.35,38.11,33.33,122.95,389.72
7,2,1,Small Forehead,88.96,23.13,99.28,53.58,39.8,18.18,55.34,357.94
8,2,2,Cheeks and Nose,69.39,18.68,99.14,26.09,30.62,0.0,177.04,553.65
9,2,3,Left Cheek,100.52,9.79,99.28,68.21,62.67,54.55,278.66,1688.09
10,2,4,Right Cheek,67.61,16.01,99.37,43.37,68.83,18.18,45.33,2982.18
11,2,5,Crop Face,68.5,15.12,99.08,39.66,48.7,22.22,467.35,347.78
12,3,0,Big Forehead,71.17,9.79,99.21,58.34,57.16,37.5,570.77,558.94
13,3,1,Small Forehead,68.5,9.79,99.37,53.89,56.17,33.33,472.98,678.8
14,3,2,Cheeks and Nose,71.17,16.9,99.1,75.25,57.33,20.0,314.87,529.79
15,3,3,Left Cheek,68.5,14.23,99.15,24.37,52.34,9.09,116.63,213.99
16,3,4,Right Cheek,74.72,22.24,99.32,51.7,40.11,18.18,220.25,968.03
17,3,5,Crop Face,71.17,13.34,99.05,56.2,53.4,40.0,767.77,2338.46
18,4,0,Big Forehead,80.06,9.79,99.02,93.34,72.89,36.36,213.82,642.57
19,4,1,Small Forehead,83.62,9.79,99.19,51.12,44.5,30.0,251.21,427.23
20,4,2,Cheeks and Nose,76.5,9.79,99.04,80.16,78.72,40.0,1507.37,4864.72
21,4,3,Left Cheek,70.28,11.56,99.02,46.67,60.77,33.33,820.15,2962.56
22,4,4,Right Cheek,104.97,9.79,99.35,49.5,53.89,25.0,270.84,587.96
23,4,5,Crop Face,76.5,9.79,99.03,33.0,37.46,11.11,122.89,351.96
24,5,0,Big Forehead,71.17,9.79,99.2,26.09,30.62,0.0,103.04,278.56
25,5,1,Small Forehead,70.28,9.79,99.4,16.5,44.0,0.0,61.46,30.84
26,5,2,Cheeks and Nose,72.06,11.56,99.1,61.25,53.44,66.67,190.36,2235.4
27,5,3,Left Cheek,72.95,9.79,99.12,53.58,49.67,18.18,104.61,958.94
28,5,4,Right Cheek,70.28,9.79,99.33,48.57,47.85,41.67,12.17,903.53
29,5,5,Crop Face,71.17,10.67,99.19,16.5,30.62,0.0,78.54,385.6
30,6,0,Big Forehead,67.61,21.35,99.13,24.37,57.09,0.0,109.59,1381.35
31,6,1,Small Forehead,68.5,21.35,99.31,58.02,64.99,63.64,863.41,943.3
32,6,2,Cheeks and Nose,66.72,9.79,99.15,65.17,65.09,40.0,486.82,966.95
33,6,3,Left Cheek,104.97,9.79,99.21,30.12,31.26,8.33,135.64,258.96
34,6,4,Right Cheek,72.95,9.79,99.36,46.67,61.54,27.27,284.08,1456.96
35,6,5,Crop Face,66.72,9.79,99.06,34.47,53.27,27.27,516.32,1394.95
