,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,95.68,9.75,98.75,75.12,51.62,27.27,113.93,443.68
1,1,1,Small Forehead,73.54,9.75,99.2,55.0,71.29,33.33,258.33,437.53
2,1,2,Cheeks and Nose,74.42,9.75,99.27,15.56,18.73,0.0,4.48,53.51
3,1,3,Left Cheek,86.83,9.75,99.3,31.46,29.85,9.09,51.81,176.85
4,1,4,Right Cheek,77.97,21.26,99.54,31.31,27.07,10.0,2.24,235.01
5,1,5,Crop Face,73.54,9.75,99.17,40.42,27.43,20.0,44.92,123.23
6,2,0,Big Forehead,77.97,9.75,99.2,29.52,17.8,10.0,35.61,63.54
7,2,1,Small Forehead,77.08,9.75,99.13,14.76,9.95,0.0,15.73,75.05
8,2,2,Cheeks and Nose,79.74,9.75,99.3,39.05,44.27,20.0,197.26,689.8
9,2,3,Left Cheek,79.74,9.75,98.98,57.16,59.91,36.36,209.53,548.29
10,2,4,Right Cheek,80.62,19.49,99.4,15.56,15.56,0.0,5.52,78.67
11,2,5,Crop Face,78.85,9.75,99.2,26.94,17.04,0.0,2.58,68.09
12,3,0,Big Forehead,81.51,9.75,99.28,158.73,107.47,33.33,2677.93,1477.33
13,3,1,Small Forehead,82.4,9.75,99.54,33.0,22.25,20.0,24.75,201.57
14,3,2,Cheeks and Nose,82.4,9.75,99.27,44.5,40.92,36.36,157.7,155.1
15,3,3,Left Cheek,80.62,23.92,99.26,20.87,17.8,0.0,1.57,68.87
16,3,4,Right Cheek,81.51,23.92,99.34,53.21,40.29,20.0,173.89,123.97
17,3,5,Crop Face,81.51,9.75,99.21,14.07,26.17,0.0,137.41,99.75
18,4,0,Big Forehead,83.28,9.75,98.59,83.48,87.31,70.0,325.54,3651.72
19,4,1,Small Forehead,81.51,9.75,99.47,73.05,66.75,40.0,148.29,911.71
20,4,2,Cheeks and Nose,83.28,14.18,98.94,23.33,15.41,0.0,0.88,93.21
21,4,3,Left Cheek,82.4,9.75,99.15,37.63,28.84,20.0,270.26,319.21
22,4,4,Right Cheek,81.51,15.95,99.32,28.14,58.79,9.09,432.53,563.0
23,4,5,Crop Face,82.4,9.75,98.78,31.31,19.9,10.0,22.69,58.92
24,5,0,Big Forehead,79.74,22.15,99.09,9.15,27.24,0.0,72.61,174.06
25,5,1,Small Forehead,83.28,23.92,99.4,25.89,36.28,7.69,105.49,536.4
26,5,2,Cheeks and Nose,88.6,9.75,99.22,19.05,47.56,0.0,143.49,604.95
27,5,3,Left Cheek,82.4,23.04,99.32,34.35,40.76,25.0,458.84,847.33
28,5,4,Right Cheek,80.62,21.26,99.47,25.56,23.12,0.0,108.74,225.8
29,5,5,Crop Face,78.85,23.92,99.23,39.8,38.11,27.27,518.46,598.28
30,6,0,Big Forehead,89.48,10.63,99.0,50.41,45.76,41.67,93.55,1119.06
31,6,1,Small Forehead,65.56,10.63,99.36,46.67,71.0,45.45,438.58,3224.4
32,6,2,Cheeks and Nose,77.97,9.75,99.11,52.65,35.41,27.27,62.92,695.1
33,6,3,Left Cheek,90.37,10.63,99.34,25.56,29.52,0.0,92.49,221.01
34,6,4,Right Cheek,92.14,9.75,99.54,41.02,54.19,18.18,181.29,427.85
35,6,5,Crop Face,78.85,12.4,99.14,46.67,33.3,20.0,120.79,317.39
36,7,0,Big Forehead,90.37,23.04,98.84,14.07,43.28,0.0,57.13,196.36
37,7,1,Small Forehead,92.14,23.04,99.41,39.8,33.99,18.18,188.92,300.66
38,7,2,Cheeks and Nose,76.19,9.75,99.34,57.16,52.84,16.67,256.43,190.58
39,7,3,Left Cheek,92.14,11.52,99.31,44.5,38.43,18.18,295.9,456.79
40,7,4,Right Cheek,74.42,9.75,99.45,14.07,44.77,0.0,122.18,1328.43
41,7,5,Crop Face,91.25,9.75,99.25,29.85,28.58,18.18,16.26,286.02
