,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,62.02,22.15,99.33,48.11,45.28,50.0,483.5,1662.47
1,1,1,Small Forehead,61.13,21.26,99.52,82.54,82.1,42.86,342.64,868.71
2,1,2,Cheeks and Nose,62.02,20.38,99.19,70.97,61.96,62.5,81.1,3417.21
3,1,3,Left Cheek,62.02,9.75,99.46,69.02,80.27,75.0,1389.77,1220.39
4,1,4,Right Cheek,62.02,9.75,99.42,42.07,49.5,25.0,32.17,522.85
5,1,5,Crop Face,62.02,9.75,99.21,53.47,43.65,37.5,317.65,341.23
6,2,0,Big Forehead,60.25,9.75,99.11,54.95,57.52,62.5,714.24,1085.05
7,2,1,Small Forehead,61.13,22.15,99.32,64.36,57.57,25.0,87.44,2383.23
8,2,2,Cheeks and Nose,60.25,22.15,99.34,52.57,51.1,37.5,926.8,1432.03
9,2,3,Left Cheek,61.13,9.75,99.35,40.83,49.86,25.0,240.03,1974.05
10,2,4,Right Cheek,59.36,23.04,99.49,119.92,101.0,44.44,1290.7,998.08
11,2,5,Crop Face,60.25,9.75,99.31,43.94,47.33,25.0,294.04,1769.69
12,3,0,Big Forehead,59.36,15.95,99.12,50.46,41.52,28.57,75.39,648.14
13,3,1,Small Forehead,57.59,17.72,98.79,68.4,57.5,50.0,149.26,846.88
14,3,2,Cheeks and Nose,55.82,13.29,99.42,57.16,68.29,50.0,685.26,5197.24
15,3,3,Left Cheek,56.7,9.75,99.27,142.14,116.12,66.67,2656.86,3866.42
16,3,4,Right Cheek,57.59,10.63,99.55,11.0,76.52,0.0,121.3,2626.76
17,3,5,Crop Face,57.59,13.29,99.32,60.53,37.57,57.14,67.52,118.99
18,4,0,Big Forehead,59.36,16.83,99.54,58.21,50.29,44.44,598.12,2364.75
19,4,1,Small Forehead,57.59,15.06,99.7,106.6,112.86,50.0,3413.56,2763.87
20,4,2,Cheeks and Nose,60.25,14.18,99.29,44.0,31.88,22.22,133.33,729.65
21,4,3,Left Cheek,59.36,9.75,99.33,89.46,79.68,37.5,353.62,1149.46
22,4,4,Right Cheek,58.47,17.72,99.44,66.0,72.02,40.0,328.2,1421.2
23,4,5,Crop Face,59.36,11.52,99.23,69.57,60.02,66.67,307.69,1565.57
24,5,0,Big Forehead,60.25,9.75,99.21,137.39,90.23,85.71,404.78,1943.89
25,5,1,Small Forehead,60.25,9.75,99.24,92.33,83.96,57.14,333.25,1596.78
26,5,2,Cheeks and Nose,60.25,15.95,99.2,41.6,43.16,28.57,53.01,1821.88
27,5,3,Left Cheek,60.25,23.92,99.06,52.18,73.38,25.0,490.4,2654.49
28,5,4,Right Cheek,59.36,23.92,98.79,50.0,75.03,25.0,1731.9,4010.83
29,5,5,Crop Face,60.25,9.75,99.15,41.82,24.82,28.57,14.7,117.63
30,6,0,Big Forehead,58.47,9.75,99.06,20.21,43.27,0.0,529.99,1675.46
31,6,1,Small Forehead,58.47,23.92,99.16,55.95,42.96,37.5,331.14,635.42
32,6,2,Cheeks and Nose,58.47,9.75,99.36,63.16,53.69,75.0,622.25,2776.75
33,6,3,Left Cheek,58.47,9.75,99.12,72.38,79.32,37.5,670.61,1820.32
34,6,4,Right Cheek,57.59,23.92,99.33,73.79,52.18,37.5,57.12,419.34
35,6,5,Crop Face,58.47,9.75,99.31,58.76,37.57,37.5,178.39,607.51
36,7,0,Big Forehead,59.36,9.75,98.95,33.0,29.1,0.0,296.59,594.22
37,7,1,Small Forehead,58.47,9.75,99.04,24.6,66.35,11.11,927.86,3447.81
38,7,2,Cheeks and Nose,60.25,18.61,99.4,57.95,35.22,50.0,199.85,257.26
39,7,3,Left Cheek,59.36,9.75,99.04,33.0,46.99,12.5,761.97,859.74
40,7,4,Right Cheek,59.36,19.49,99.41,28.58,22.0,12.5,182.34,248.12
41,7,5,Crop Face,59.36,15.95,99.3,37.34,37.31,25.0,209.48,691.1
