,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,73.54,10.63,98.96,22.0,23.07,0.0,77.41,546.81
1,1,1,Small Forehead,73.54,15.06,99.24,56.09,35.47,33.33,53.89,98.39
2,1,2,Cheeks and Nose,74.42,10.63,99.62,34.79,28.89,11.11,11.77,334.34
3,1,3,Left Cheek,72.65,10.63,99.29,29.52,52.84,20.0,22.84,1321.43
4,1,4,Right Cheek,72.65,9.75,99.05,18.07,37.49,0.0,435.82,368.52
5,1,5,Crop Face,73.54,9.75,99.54,26.94,15.94,0.0,43.11,70.13
6,2,0,Big Forehead,76.19,19.49,98.93,41.74,30.51,30.0,137.8,73.28
7,2,1,Small Forehead,76.19,18.61,99.08,41.74,50.73,40.0,103.63,522.36
8,2,2,Cheeks and Nose,74.42,9.75,98.68,39.05,28.84,20.0,53.78,434.32
9,2,3,Left Cheek,76.19,19.49,98.54,14.76,22.25,0.0,23.11,89.21
10,2,4,Right Cheek,73.54,12.4,98.78,25.56,41.74,10.0,22.03,199.2
11,2,5,Crop Face,76.19,23.04,98.56,29.52,28.84,10.0,49.85,224.11
12,3,0,Big Forehead,77.08,9.75,99.14,67.63,51.89,30.0,10.49,625.78
13,3,1,Small Forehead,77.08,17.72,99.24,28.14,45.23,9.09,7.48,918.12
14,3,2,Cheeks and Nose,77.08,21.26,98.34,29.52,42.91,20.0,133.46,310.67
15,3,3,Left Cheek,76.19,9.75,99.19,37.63,41.98,30.0,131.64,375.13
16,3,4,Right Cheek,76.19,14.18,98.88,42.6,58.49,16.67,66.63,1975.96
17,3,5,Crop Face,76.19,9.75,98.28,31.46,44.5,18.18,219.12,132.51
18,4,0,Big Forehead,75.31,9.75,99.03,24.6,41.3,0.0,146.98,118.29
19,4,1,Small Forehead,74.42,9.75,99.14,11.0,17.04,0.0,85.84,105.17
20,4,2,Cheeks and Nose,72.65,16.83,99.25,25.56,32.39,10.0,350.71,368.81
21,4,3,Left Cheek,72.65,9.75,99.08,188.42,144.38,55.56,4282.49,3547.97
22,4,4,Right Cheek,71.76,15.06,99.29,44.5,50.73,27.27,310.16,884.43
23,4,5,Crop Face,73.54,9.75,99.06,29.52,45.38,10.0,394.14,380.55
24,5,0,Big Forehead,75.31,9.75,99.11,33.0,51.89,20.0,184.7,490.4
25,5,1,Small Forehead,77.08,9.75,99.16,42.21,34.82,27.27,239.44,238.54
26,5,2,Cheeks and Nose,77.97,10.63,99.4,28.14,21.49,9.09,83.8,502.42
27,5,3,Left Cheek,76.19,9.75,99.27,48.74,43.37,27.27,626.38,656.92
28,5,4,Right Cheek,73.54,23.92,99.27,29.1,47.82,0.0,249.43,322.41
29,5,5,Crop Face,77.08,9.75,99.22,28.14,39.38,0.0,215.37,990.29
30,6,0,Big Forehead,74.42,23.92,99.17,37.63,46.24,20.0,148.01,607.24
31,6,1,Small Forehead,75.31,9.75,99.29,25.56,38.54,0.0,35.41,476.42
32,6,2,Cheeks and Nose,73.54,9.75,99.3,33.0,29.52,10.0,153.33,272.27
33,6,3,Left Cheek,73.54,16.83,99.44,39.05,37.49,20.0,60.14,198.69
34,6,4,Right Cheek,75.31,17.72,99.25,57.16,63.24,40.0,40.77,1091.38
35,6,5,Crop Face,73.54,23.04,99.37,18.07,22.69,0.0,156.76,355.77
36,7,0,Big Forehead,72.65,9.75,99.06,49.19,59.85,44.44,75.14,695.21
37,7,1,Small Forehead,100.11,9.75,99.18,83.25,80.01,45.45,780.46,586.68
38,7,2,Cheeks and Nose,74.42,22.15,99.28,15.56,20.87,0.0,74.93,114.19
39,7,3,Left Cheek,73.54,9.75,99.35,22.0,31.88,0.0,42.0,74.35
40,7,4,Right Cheek,74.42,9.75,99.23,20.87,39.3,0.0,95.32,665.64
41,7,5,Crop Face,73.54,23.92,99.19,15.56,10.44,0.0,22.49,104.26
