,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,80.05,14.23,99.27,57.16,52.34,36.36,1042.95,2709.72
1,1,1,Small Forehead,92.5,16.9,99.41,42.4,63.94,30.77,918.65,996.47
2,1,2,Cheeks and Nose,79.16,9.78,99.16,45.49,52.08,20.0,483.88,531.57
3,1,3,Left Cheek,88.94,10.67,99.35,54.5,62.07,36.36,66.92,405.34
4,1,4,Right Cheek,72.05,18.68,99.01,48.74,44.12,36.36,134.34,267.99
5,1,5,Crop Face,74.71,23.13,99.28,14.07,43.28,0.0,168.44,2206.44
6,2,0,Big Forehead,96.06,17.79,99.52,23.33,25.07,0.0,7.32,30.66
7,2,1,Small Forehead,84.5,16.9,99.56,58.72,42.13,41.67,127.33,769.14
8,2,2,Cheeks and Nose,77.38,9.78,99.53,59.03,63.4,20.0,965.51,895.35
9,2,3,Left Cheek,98.73,10.67,99.34,31.47,35.51,15.38,15.36,476.77
10,2,4,Right Cheek,68.49,9.78,99.36,59.49,41.27,16.67,96.23,254.06
11,2,5,Crop Face,97.84,9.78,99.6,101.18,69.36,60.0,488.88,716.34
12,3,0,Big Forehead,88.06,9.78,99.3,22.25,28.14,0.0,19.13,557.61
13,3,1,Small Forehead,91.61,9.78,99.3,45.69,45.61,8.33,66.03,1017.3
14,3,2,Cheeks and Nose,74.71,9.78,99.38,102.78,93.76,40.0,2883.0,3091.04
15,3,3,Left Cheek,102.29,10.67,99.49,115.89,87.71,41.67,1225.76,549.51
16,3,4,Right Cheek,79.16,14.23,99.64,51.7,54.5,27.27,124.43,190.6
17,3,5,Crop Face,64.93,9.78,99.48,115.26,114.57,30.0,3668.59,1812.63
18,4,0,Big Forehead,92.5,21.35,99.5,23.33,38.47,0.0,75.7,725.05
19,4,1,Small Forehead,96.06,22.24,99.55,32.31,39.36,15.38,330.12,599.74
20,4,2,Cheeks and Nose,93.39,16.9,99.5,35.87,50.65,18.18,223.1,398.96
21,4,3,Left Cheek,92.5,14.23,99.5,89.87,70.7,16.67,1018.37,679.49
22,4,4,Right Cheek,97.84,10.67,99.52,73.12,47.63,54.55,235.85,870.46
23,4,5,Crop Face,93.39,18.68,99.6,33.0,31.26,8.33,32.54,134.51
24,5,0,Big Forehead,125.41,14.23,99.46,52.18,38.34,16.67,26.59,203.32
25,5,1,Small Forehead,104.95,18.68,99.52,29.94,28.59,7.69,130.47,162.42
26,5,2,Cheeks and Nose,101.4,15.12,99.4,44.5,36.78,27.27,4.92,501.15
27,5,3,Left Cheek,85.39,13.34,99.42,51.12,79.22,20.0,307.94,5516.12
28,5,4,Right Cheek,73.82,10.67,99.46,43.37,66.59,36.36,468.54,2510.08
29,5,5,Crop Face,68.49,15.12,99.44,67.08,56.99,41.67,348.13,591.06
30,6,0,Big Forehead,76.49,10.67,99.2,52.65,63.65,27.27,523.96,756.68
31,6,1,Small Forehead,84.5,11.56,99.31,18.31,17.48,0.0,17.28,153.28
32,6,2,Cheeks and Nose,81.83,10.67,99.39,166.86,124.31,50.0,2219.33,2316.35
33,6,3,Left Cheek,80.94,10.67,99.46,10.44,45.16,0.0,36.93,1208.04
34,6,4,Right Cheek,86.28,12.45,99.49,46.67,32.87,27.27,73.46,151.92
35,6,5,Crop Face,80.94,9.78,99.47,37.23,38.43,18.18,159.91,740.95
36,7,0,Big Forehead,99.62,23.13,99.5,58.1,75.25,30.0,209.07,123.18
37,7,1,Small Forehead,104.07,23.13,99.52,43.65,55.69,25.0,219.74,1491.86
38,7,2,Cheeks and Nose,96.95,16.9,99.41,50.41,51.01,33.33,124.18,1111.89
39,7,3,Left Cheek,79.16,19.57,99.32,33.0,31.46,18.18,146.65,256.93
40,7,4,Right Cheek,99.62,22.24,99.51,34.47,21.49,9.09,0.99,85.38
41,7,5,Crop Face,80.94,9.78,99.6,33.0,50.73,20.0,190.24,155.54
