,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,101.0,9.75,98.96,31.71,30.65,15.38,65.04,352.62
1,1,1,Small Forehead,86.83,9.75,98.83,64.48,60.45,36.36,1010.6,763.2
2,1,2,Cheeks and Nose,99.23,13.29,99.1,22.42,25.07,0.0,80.48,75.77
3,1,3,Left Cheek,100.12,15.06,99.02,22.42,24.95,0.0,6.48,116.08
4,1,4,Right Cheek,101.89,11.52,98.91,22.42,35.95,0.0,8.18,1115.81
5,1,5,Crop Face,101.0,11.52,99.11,12.94,30.26,0.0,70.7,430.42
6,2,0,Big Forehead,101.0,9.75,98.9,35.28,41.12,14.29,51.75,164.6
7,2,1,Small Forehead,65.56,9.75,98.99,60.52,53.58,27.27,94.55,859.61
8,2,2,Cheeks and Nose,101.89,9.75,99.09,25.89,16.41,0.0,18.71,50.78
9,2,3,Left Cheek,102.77,9.75,99.23,36.61,31.04,15.38,135.37,267.35
10,2,4,Right Cheek,101.0,9.75,99.24,31.6,25.34,8.33,56.85,526.79
11,2,5,Crop Face,101.89,9.75,99.15,25.89,20.9,0.0,44.25,60.6
12,3,0,Big Forehead,99.23,9.75,98.84,15.85,32.17,0.0,8.49,550.76
13,3,1,Small Forehead,102.77,9.75,99.05,43.89,30.65,15.38,71.73,71.3
14,3,2,Cheeks and Nose,101.0,9.75,99.0,19.05,14.47,0.0,33.08,33.66
15,3,3,Left Cheek,99.23,9.75,99.21,19.05,33.42,0.0,136.33,298.08
16,3,4,Right Cheek,100.12,9.75,99.19,31.71,24.09,15.38,42.06,47.24
17,3,5,Crop Face,100.12,14.18,98.89,26.94,26.42,8.33,21.76,278.52
18,4,0,Big Forehead,96.57,9.75,98.72,12.94,28.21,0.0,43.27,672.76
19,4,1,Small Forehead,70.88,9.75,99.1,48.95,53.77,30.0,670.37,618.81
20,4,2,Cheeks and Nose,99.23,9.75,99.04,53.37,32.82,53.85,40.29,87.94
21,4,3,Left Cheek,100.12,23.92,99.28,40.93,34.25,15.38,116.59,514.76
22,4,4,Right Cheek,98.34,10.63,99.06,23.33,14.47,0.0,4.27,16.16
23,4,5,Crop Face,100.12,9.75,99.09,40.42,28.94,16.67,27.86,104.47
24,5,0,Big Forehead,101.0,23.92,98.81,46.67,36.28,38.46,84.58,346.43
25,5,1,Small Forehead,97.46,23.92,99.1,33.13,26.98,13.33,25.07,152.18
26,5,2,Cheeks and Nose,99.23,9.75,99.02,23.33,14.47,0.0,11.83,52.98
27,5,3,Left Cheek,98.34,9.75,99.22,30.36,30.94,7.69,200.89,690.64
28,5,4,Right Cheek,99.23,9.75,99.13,22.42,25.42,0.0,72.16,47.6
29,5,5,Crop Face,99.23,9.75,99.01,23.33,15.85,0.0,5.95,42.94
30,6,0,Big Forehead,99.23,15.95,98.8,34.25,49.17,15.38,22.06,497.54
31,6,1,Small Forehead,101.0,9.75,99.11,33.0,19.59,14.29,22.5,51.87
32,6,2,Cheeks and Nose,98.34,9.75,98.87,22.42,33.54,0.0,160.34,340.27
33,6,3,Left Cheek,97.46,9.75,99.02,0.0,12.39,0.0,2.26,71.12
34,6,4,Right Cheek,100.12,9.75,99.03,19.05,15.85,0.0,44.86,163.61
35,6,5,Crop Face,98.34,9.75,98.77,12.94,15.47,0.0,69.77,83.15
