,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,64.66,9.74,99.28,44.5,90.1,18.18,834.29,3153.63
1,1,1,Small Forehead,62.89,9.74,99.52,101.09,72.77,30.77,1160.92,590.88
2,1,2,Cheeks and Nose,65.55,9.74,99.54,48.62,44.29,25.0,140.21,832.64
3,1,3,Left Cheek,67.32,9.74,99.45,157.99,114.05,60.0,2777.2,1721.51
4,1,4,Right Cheek,65.55,9.74,99.54,118.98,89.11,80.0,447.51,813.65
5,1,5,Crop Face,66.43,9.74,99.51,61.31,38.89,62.5,144.62,954.33
6,2,0,Big Forehead,61.12,20.37,99.36,52.65,46.31,45.45,192.21,1120.87
7,2,1,Small Forehead,91.24,21.26,99.38,28.14,47.63,18.18,131.42,1465.1
8,2,2,Cheeks and Nose,62.01,9.74,99.22,68.64,47.02,25.0,182.64,401.01
9,2,3,Left Cheek,61.12,9.74,99.39,22.25,51.7,0.0,360.66,599.02
10,2,4,Right Cheek,60.23,9.74,99.32,42.95,60.07,33.33,835.13,341.5
11,2,5,Crop Face,61.12,9.74,99.3,33.38,28.77,12.5,137.83,1068.24
12,3,0,Big Forehead,69.98,9.74,99.35,95.74,76.85,16.67,292.94,1585.39
13,3,1,Small Forehead,85.04,9.74,99.4,94.31,64.07,50.0,253.85,450.28
14,3,2,Cheeks and Nose,64.66,9.74,99.35,15.56,59.01,0.0,686.16,2055.2
15,3,3,Left Cheek,67.32,23.92,99.44,33.0,21.34,20.0,73.25,37.84
16,3,4,Right Cheek,82.38,9.74,99.47,48.74,56.87,18.18,765.98,1180.72
17,3,5,Crop Face,65.55,9.74,99.37,19.05,20.87,0.0,99.51,169.18
18,4,0,Big Forehead,69.98,23.03,99.35,95.64,103.77,40.0,525.01,7294.66
19,4,1,Small Forehead,84.15,22.14,99.43,46.67,33.42,33.33,2.3,261.3
20,4,2,Cheeks and Nose,56.69,9.74,99.56,57.45,71.3,50.0,1187.98,1931.69
21,4,3,Left Cheek,80.61,23.03,99.48,33.0,42.93,16.67,575.65,624.19
22,4,4,Right Cheek,57.58,21.26,99.63,60.32,52.57,62.5,42.42,474.52
23,4,5,Crop Face,57.58,9.74,99.53,58.21,79.69,44.44,636.23,694.35
24,5,0,Big Forehead,61.12,9.74,99.24,44.68,44.37,25.0,139.85,576.45
25,5,1,Small Forehead,104.52,9.74,99.46,35.64,52.97,16.67,33.17,257.81
26,5,2,Cheeks and Nose,62.01,22.14,99.48,46.67,75.66,22.22,2150.69,2771.72
27,5,3,Left Cheek,60.23,9.74,99.44,42.21,57.09,18.18,421.15,765.63
28,5,4,Right Cheek,59.35,9.74,99.56,86.05,78.6,50.0,358.37,4401.48
29,5,5,Crop Face,61.12,9.74,99.41,71.65,70.3,66.67,1227.37,2069.8
30,6,0,Big Forehead,62.89,9.74,99.17,38.54,67.24,18.18,336.97,1028.59
31,6,1,Small Forehead,69.09,9.74,99.31,19.05,30.58,0.0,177.5,402.27
32,6,2,Cheeks and Nose,62.01,9.74,99.32,49.64,71.33,22.22,455.86,217.51
33,6,3,Left Cheek,62.89,9.74,99.31,46.98,78.11,44.44,1521.26,1383.21
34,6,4,Right Cheek,62.89,23.03,99.37,60.68,99.79,33.33,247.68,2111.48
35,6,5,Crop Face,62.89,9.74,99.3,15.56,52.09,0.0,32.67,1190.48
36,7,0,Big Forehead,75.29,9.74,99.16,57.16,67.63,20.0,267.17,1316.78
37,7,1,Small Forehead,94.78,9.74,99.3,33.0,36.29,14.29,525.99,1148.01
38,7,2,Cheeks and Nose,60.23,9.74,99.25,26.09,29.1,12.5,173.07,248.61
39,7,3,Left Cheek,62.01,9.74,99.38,55.22,49.15,30.0,14.51,1052.12
40,7,4,Right Cheek,74.41,9.74,99.5,55.22,46.24,40.0,69.67,339.33
41,7,5,Crop Face,60.23,9.74,99.39,74.95,49.42,66.67,35.19,1593.12
