,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,85.95,12.41,98.92,21.3,32.57,0.0,9.38,10.47
1,1,1,Small Forehead,102.79,15.95,98.48,96.86,81.41,38.46,1139.04,1268.92
2,1,2,Cheeks and Nose,81.52,22.15,99.32,23.33,37.23,0.0,29.3,191.62
3,1,3,Left Cheek,79.75,9.75,99.48,67.63,56.11,60.0,132.38,487.69
4,1,4,Right Cheek,83.29,18.61,99.49,30.12,49.43,16.67,258.18,145.61
5,1,5,Crop Face,81.52,9.75,99.32,37.23,49.42,27.27,179.59,679.99
6,2,0,Big Forehead,80.64,20.38,99.27,48.57,31.71,33.33,33.57,618.5
7,2,1,Small Forehead,69.12,19.49,97.8,42.6,37.74,16.67,85.85,408.94
8,2,2,Cheeks and Nose,79.75,9.75,99.32,14.76,17.8,0.0,44.72,84.32
9,2,3,Left Cheek,64.69,11.52,99.27,33.0,57.33,20.0,291.95,2412.56
10,2,4,Right Cheek,94.81,15.95,99.2,118.63,94.34,53.85,1607.77,1138.82
11,2,5,Crop Face,80.64,9.75,99.31,23.33,25.56,0.0,61.71,186.06
12,3,0,Big Forehead,82.41,9.75,99.24,19.9,14.07,0.0,13.4,105.22
13,3,1,Small Forehead,93.04,9.75,97.97,43.89,54.7,15.38,434.87,1214.57
14,3,2,Cheeks and Nose,79.75,11.52,99.06,23.33,25.95,0.0,14.88,278.8
15,3,3,Left Cheek,83.29,18.61,99.44,15.85,44.23,0.0,363.78,1640.81
16,3,4,Right Cheek,84.18,18.61,99.41,61.74,62.61,40.0,649.21,2029.59
17,3,5,Crop Face,79.75,9.75,99.18,51.12,29.85,50.0,10.58,92.84
18,4,0,Big Forehead,83.29,17.72,98.91,33.0,39.8,18.18,59.79,96.65
19,4,1,Small Forehead,77.98,13.29,97.74,57.16,40.05,40.0,158.27,542.25
20,4,2,Cheeks and Nose,80.64,19.49,99.25,46.67,40.29,20.0,65.73,523.94
21,4,3,Left Cheek,82.41,9.75,99.14,10.44,22.69,0.0,96.49,210.61
22,4,4,Right Cheek,81.52,16.84,99.54,44.5,64.23,36.36,624.9,944.23
23,4,5,Crop Face,81.52,18.61,99.12,33.0,22.69,10.0,23.4,24.27
24,5,0,Big Forehead,77.09,9.75,99.09,75.01,53.78,58.33,404.69,648.14
25,5,1,Small Forehead,96.59,9.75,98.3,46.67,32.2,21.43,209.13,214.59
26,5,2,Cheeks and Nose,78.86,15.95,99.25,26.32,42.51,9.09,464.58,991.87
27,5,3,Left Cheek,56.71,9.75,99.1,33.0,70.12,9.09,357.41,702.92
28,5,4,Right Cheek,79.75,23.92,99.25,33.0,52.08,10.0,499.42,2072.01
29,5,5,Crop Face,79.75,11.52,99.23,31.46,20.51,18.18,39.09,316.68
30,6,0,Big Forehead,83.29,16.84,98.7,115.74,76.43,40.0,1400.91,711.86
31,6,1,Small Forehead,106.33,9.75,98.18,97.49,73.73,63.64,990.56,877.34
32,6,2,Cheeks and Nose,82.41,9.75,99.31,148.32,99.5,60.0,1148.37,349.4
33,6,3,Left Cheek,83.29,15.06,99.33,9.53,53.63,0.0,255.43,447.81
34,6,4,Right Cheek,79.75,21.27,99.41,46.67,40.62,42.86,23.38,93.89
35,6,5,Crop Face,82.41,9.75,99.34,41.74,33.89,30.0,112.25,184.74
