,Window num,ROI No,ROI Name,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
0,1,0,Big Forehead,67.35,9.75,99.16,34.79,36.32,22.22,56.97,71.4
1,1,1,Small Forehead,67.35,9.75,99.5,22.0,32.07,0.0,30.03,177.59
2,1,2,Cheeks and Nose,67.35,9.75,99.15,38.11,27.83,22.22,15.08,124.92
3,1,3,Left Cheek,67.35,19.5,99.22,22.0,24.35,0.0,49.04,209.91
4,1,4,Right Cheek,67.35,9.75,99.2,22.0,26.03,0.0,30.6,458.8
5,1,5,Crop Face,67.35,23.93,99.11,26.94,24.35,0.0,54.28,14.43
6,2,0,Big Forehead,65.58,9.75,99.45,41.16,57.79,11.11,917.04,833.91
7,2,1,Small Forehead,66.47,9.75,99.52,29.52,46.88,20.0,617.55,721.34
8,2,2,Cheeks and Nose,66.47,10.63,99.0,70.43,56.52,66.67,723.75,301.66
9,2,3,Left Cheek,66.47,9.75,99.36,88.68,65.63,44.44,502.56,177.39
10,2,4,Right Cheek,64.7,9.75,99.65,40.42,46.67,25.0,516.0,569.92
11,2,5,Crop Face,65.58,22.16,99.23,68.69,52.18,55.56,381.77,115.75
12,3,0,Big Forehead,68.24,9.75,99.53,0.0,0.0,0.0,0.0,0.0
13,3,1,Small Forehead,68.24,21.27,99.66,26.09,17.39,0.0,40.95,127.83
14,3,2,Cheeks and Nose,67.35,9.75,99.01,0.0,0.0,0.0,0.0,0.0
15,3,3,Left Cheek,68.24,9.75,99.39,16.5,11.0,0.0,13.38,46.42
16,3,4,Right Cheek,68.24,9.75,99.49,20.21,14.55,0.0,19.88,45.07
17,3,5,Crop Face,67.35,18.61,99.21,0.0,0.0,0.0,0.0,0.0
18,4,0,Big Forehead,66.47,11.52,99.25,58.21,76.29,44.44,646.87,445.7
19,4,1,Small Forehead,66.47,10.63,99.48,51.59,71.37,22.22,351.82,1481.59
20,4,2,Cheeks and Nose,66.47,11.52,99.1,36.9,23.33,12.5,108.54,230.78
21,4,3,Left Cheek,66.47,10.63,99.09,46.67,34.79,37.5,73.74,183.95
22,4,4,Right Cheek,67.35,11.52,99.14,20.21,38.5,0.0,1.77,200.54
23,4,5,Crop Face,66.47,10.63,99.04,23.33,16.5,0.0,46.92,300.67
24,5,0,Big Forehead,67.35,16.84,99.51,22.0,27.83,0.0,49.65,186.01
25,5,1,Small Forehead,67.35,11.52,99.46,22.0,27.17,0.0,142.98,413.17
26,5,2,Cheeks and Nose,67.35,9.75,99.21,22.0,24.35,0.0,49.04,209.91
27,5,3,Left Cheek,67.35,9.75,98.97,22.0,35.47,0.0,184.53,385.32
28,5,4,Right Cheek,67.35,20.38,97.5,46.67,42.46,44.44,113.3,337.05
29,5,5,Crop Face,67.35,14.18,99.33,22.0,26.94,0.0,84.84,240.81
30,6,0,Big Forehead,67.35,9.75,99.52,45.35,60.35,22.22,418.76,1070.49
31,6,1,Small Forehead,67.35,23.93,99.47,22.0,63.76,0.0,420.61,1589.61
32,6,2,Cheeks and Nose,67.35,9.75,99.22,33.0,40.57,22.22,96.51,261.31
33,6,3,Left Cheek,66.47,21.27,99.07,61.25,51.59,55.56,775.82,513.21
34,6,4,Right Cheek,67.35,15.07,98.73,47.95,35.64,44.44,260.74,264.05
35,6,5,Crop Face,67.35,9.75,99.36,39.66,34.96,33.33,383.8,292.23
